-10.246,-2.0243,4.1233,-11.797,-3.9629,0.31085,4.5435,-11.952,-6.4553,9.5981,0.86832,-8.5603,-4.7968,12.09,3.509,-10.061,3.002,6.3088,6.1548,7.6754,5.1787,-5.9118,-5.741,-1.5933,-1.9728,-0.56074,0.98854,7.6983,-7.6066,-1.5512,-4.042,4.1237,9.3013,1.9299,-1.5648,7.1744,8.0941,-9.6573,-0.73647,-0.31504
-9.3469,-3.6402,4.5274,-10.711,-0.63635,-1.1501,5.0446,-12.471,-7.2777,5.0227,0.73685,-8.2567,-8.1057,8.3951,1.8772,-10.201,0.83103,8.0871,8.0532,6.0893,0.58312,-6.9043,-3.5402,-2.1671,-1.8587,-0.41908,1.1068,7.3621,-6.9306,2.9832,-3.0591,2.6777,9.9963,0.0033739,-1.21,6.8254,5.0432,-10.665,3.0395,0.15651
-8.711,-4.9235,4.8405,-8.578,2.3757,-0.0021038,5.6675,-12.945,-4.9357,1.0041,0.87392,-7.9244,-9.4713,4.0685,1.8106,-9.9049,-1.8778,7.5314,9.931,2.1527,-2.2364,-5.8456,-2.5892,-2.3525,-1.6701,-0.30864,1.284,7.0653,-5.0026,5.9225,-0.63298,2.4094,10.047,-1.2785,-0.64948,6.6858,2.0449,-10.228,4.8377,0.84568
-8.4966,-5.7991,4.6172,-5.7409,3.9408,2.3854,4.8268,-13.002,-0.84274,-0.62791,1.2515,-7.6176,-8.947,-0.16588,2.082,-9.473,-3.4483,4.8036,10.716,-1.872,-1.7341,-4.9106,-2.0451,-2.2768,-1.4344,-0.18576,1.5081,6.8721,-2.5737,7.2164,1.85,2.7668,9.64,-2.2078,0.046146,6.7093,-0.76983,-9.39,4.7268,1.4962
-8.5352,-6.1338,3.5483,-3.0069,4.3223,4.2716,2.1521,-12.443,2.007,0.34992,1.6872,-7.42,-6.8475,-3.5778,2.501,-8.7831,-3.2843,1.5619,10.703,-3.2851,0.85951,-4.291,-1.1823,-2.042,-1.1376,-0.026783,1.7811,6.8318,-0.12829,7.5317,3.7234,3.2645,8.7559,-2.8885,0.74358,6.7758,-3.3873,-8.2501,3.2476,1.8892
-8.5237,-5.7458,1.841,-1.0987,4.3286,4.9564,-1.3129,-11.483,1.8058,2.1526,1.4011,-7.1905,-3.8539,-5.6896,3.4534,-7.6388,-1.72,-0.50605,10.571,-1.834,3.1433,-3.472,0.013187,-1.6387,-0.75373,0.1885,2.1133,6.9822,2.1364,7.4352,4.8229,3.6225,7.4546,-3.3191,1.3011,6.7588,-5.6227,-6.4201,1.1317,2.0803
-8.291,-4.5656,0.1477,-0.20136,4.4044,4.599,-4.4334,-9.8959,-0.79145,2.8124,0.75917,-6.71,-0.83865,-6.2672,5.0043,-5.7438,0.37206,-0.66714,10.44,0.85799,3.7119,-2.7235,1.1449,-1.095,-0.31002,0.47354,2.5226,7.3565,4.1616,7.1374,5.1585,3.687,5.9592,-3.4859,1.6295,6.5983,-7.107,-3.6532,-0.66396,2.361
-7.8284,-2.7366,-0.91203,0.024188,4.5681,3.5586,-6.4724,-7.2553,-3.7556,2.0371,0.60651,-6.0567,1.6287,-5.2889,6.5577,-3.0372,2.0165,0.65351,10.319,2.9078,2.671,-2.2624,1.9727,-0.4661,0.1302,0.8256,3.0337,7.9869,5.8743,6.5271,4.8151,3.4982,4.5639,-3.4144,1.7318,6.3396,-7.54,-0.3574,-1.2093,2.9576
-7.1941,-0.61706,-1.0983,0.082111,4.7448,2.1851,-7.2234,-3.9226,-5.4755,0.88218,0.89008,-5.3283,3.3261,-3.0484,7.4908,-0.18897,2.7424,2.4231,10.263,3.2945,0.976,-1.8522,2.4663,0.20896,0.52141,1.2318,3.6816,8.8877,7.0524,5.3272,4.0586,3.2828,3.452,-3.1817,1.679,6.0853,-6.9478,2.5518,-0.15256,3.5318
-6.5361,1.2662,-0.5292,0.27706,4.9204,0.73902,-7.0045,-0.8389,-5.6962,0.29187,1.2535,-4.5029,4.2075,-0.15744,7.7569,1.862,2.8061,3.9649,10.14,2.05,-0.28593,-1.3803,2.7175,0.88229,0.85579,1.6817,4.5141,9.9979,7.2388,3.424,3.3895,3.2574,2.6082,-2.8758,1.5474,5.9177,-5.6458,4.4121,1.954,3.2989
-5.9676,2.4215,0.51372,0.64567,5.0682,-0.64306,-6.2916,1.3536,-4.9149,0.38067,1.6009,-3.6094,4.4221,2.7439,7.6483,2.6998,2.7008,5.1744,9.6322,-0.10619,-0.42941,-0.96325,2.8817,1.5262,1.1535,2.1782,5.5833,11.061,5.8664,1.2717,3.2221,3.4761,1.8957,-2.5505,1.3818,5.867,-3.9928,5.2687,4.0346,1.8686
